lluvia,geometry
66.0,"POLYGON ((-71.5508123801199 -34.746835189743095, -71.5508123801199 -34.800734106790266, -71.49691346307272 -34.800734106790266, -71.49691346307272 -34.746835189743095, -71.5508123801199 -34.746835189743095))"
63.0,"POLYGON ((-71.49691346307272 -34.68395311985473, -71.45199769886675 -34.68395311985473, -71.45199769886675 -34.70191942553712, -71.39809878181957 -34.70191942553712, -71.39809878181957 -34.746835189743095, -71.45199769886675 -34.746835189743095, -71.45199769886675 -34.800734106790266, -71.49691346307272 -34.800734106790266, -71.49691346307272 -34.746835189743095, -71.45199769886675 -34.746835189743095, -71.45199769886675 -34.70191942553712, -71.49691346307272 -34.70191942553712, -71.49691346307272 -34.68395311985473))"
60.0,"POLYGON ((-71.45199769886675 -34.746835189743095, -71.45199769886675 -34.800734106790266, -71.39809878181957 -34.800734106790266, -71.39809878181957 -34.746835189743095, -71.45199769886675 -34.746835189743095))"
59.0,"POLYGON ((-71.39809878181957 -34.746835189743095, -71.39809878181957 -34.800734106790266, -71.3531830176136 -34.800734106790266, -71.3531830176136 -34.746835189743095, -71.39809878181957 -34.746835189743095))"
57.0,"POLYGON ((-71.3531830176136 -34.746835189743095, -71.3531830176136 -34.800734106790266, -71.29928410056642 -34.800734106790266, -71.29928410056642 -34.746835189743095, -71.3531830176136 -34.746835189743095))"
54.0,"POLYGON ((-71.29928410056642 -34.746835189743095, -71.29928410056642 -34.800734106790266, -71.25436833636044 -34.800734106790266, -71.25436833636044 -34.746835189743095, -71.29928410056642 -34.746835189743095))"
60.0,"POLYGON ((-71.25436833636044 -34.746835189743095, -71.25436833636044 -34.800734106790266, -71.20046941931328 -34.800734106790266, -71.20046941931328 -34.746835189743095, -71.25436833636044 -34.746835189743095))"
75.0,"POLYGON ((-71.1465705022661 -34.746835189743095, -71.1465705022661 -34.800734106790266, -71.10165473806013 -34.800734106790266, -71.10165473806013 -34.746835189743095, -71.1465705022661 -34.746835189743095))"
76.0,"POLYGON ((-71.10165473806013 -34.746835189743095, -71.10165473806013 -34.800734106790266, -71.04775582101296 -34.800734106790266, -71.04775582101296 -34.746835189743095, -71.10165473806013 -34.746835189743095))"
70.0,"POLYGON ((-71.00284005680699 -34.70191942553712, -70.94894113975981 -34.70191942553712, -70.94894113975981 -34.746835189743095, -71.00284005680699 -34.746835189743095, -71.00284005680699 -34.800734106790266, -71.04775582101296 -34.800734106790266, -71.04775582101296 -34.746835189743095, -71.00284005680699 -34.746835189743095, -71.00284005680699 -34.70191942553712))"
